"","Strip","Yield","strip_id","NRate"
"111","R0",188.2457,"R0","Variable"
"112","R0",199.3841,"R0","Variable"
"113","R0",184.9672,"R0","Variable"
"114","R0",176.1419,"R0","Variable"
"115","R0",160.0489,"R0","Variable"
"116","R0",164.4324,"R0","Variable"
"117","R0",173.7613,"R0","Variable"
"118","R0",180.3564,"R0","Variable"
"119","R0",171.18,"R0","Variable"
"120","R0",162.7188,"R0","Variable"
"121","R0",157.5008,"R0","Variable"
"122","R0",135.2821,"R0","Variable"
"123","R0",119.3999,"R0","Variable"
"124","R0",138.2983,"R0","Variable"
"125","R0",122.1336,"R0","Variable"
"126","R0",138.1763,"R0","Variable"
"127","R0",129.9795,"R0","Variable"
"128","R0",117.2552,"R0","Variable"
"129","R0",136.0658,"R0","Variable"
"130","R0",122.9474,"R0","Variable"
"131","R0",143.8502,"R0","Variable"
"132","R0",157.3672,"R0","Variable"
"133","R0",146.8443,"R0","Variable"
"134","R0",132.1488,"R0","Variable"
"135","R0",120.7197,"R0","Variable"
"136","R0",125.8097,"R0","Variable"
"137","R0",131.3111,"R0","Variable"
"138","R0",130.0075,"R0","Variable"
"139","R0",127.0901,"R0","Variable"
"140","R0",139.6334,"R0","Variable"
"141","R0",149.2773,"R0","Variable"
"142","R0",149.198,"R0","Variable"
"143","R0",174.309,"R0","Variable"
"144","R0",141.7479,"R0","Variable"
"145","R0",143.1095,"R0","Variable"
"146","R0",132.5699,"R0","Variable"
"147","R0",120.6979,"R0","Variable"
"148","R0",126.5797,"R0","Variable"
"149","R0",119.3066,"R0","Variable"
"150","R0",112.8779,"R0","Variable"
"151","R0",118.5595,"R0","Variable"
"152","R0",108.8218,"R0","Variable"
"153","R0",123.9286,"R0","Variable"
"154","R0",110.173,"R0","Variable"
"155","R0",114.2921,"R0","Variable"
"156","R0",117.3854,"R0","Variable"
"157","R0",128.7018,"R0","Variable"
"158","R0",130.3781,"R0","Variable"
"159","R0",124.5851,"R0","Variable"
"160","R0",137.0259,"R0","Variable"
"161","R0",113.8343,"R0","Variable"
"162","R0",125.4938,"R0","Variable"
"163","R0",120.8566,"R0","Variable"
"164","R0",111.2953,"R0","Variable"
"165","R0",98.4563,"R0","Variable"
"166","R0",109.7288,"R0","Variable"
"167","R0",103.5346,"R0","Variable"
"168","R0",104.342,"R0","Variable"
"169","R0",106.4131,"R0","Variable"
"170","R0",107.211,"R0","Variable"
"171","R0",95.4843,"R0","Variable"
"172","R0",101.3853,"R0","Variable"
"173","R0",94.6235,"R0","Variable"
"174","R0",86.7488,"R0","Variable"
"175","R0",88.4367,"R0","Variable"
"176","R0",93.879,"R0","Variable"
"177","R0",92.6114,"R0","Variable"
"178","R0",92.8792,"R0","Variable"
"179","R0",109.4351,"R0","Variable"
"180","R0",116.2009,"R0","Variable"
"181","R0",125.6687,"R0","Variable"
"182","R0",120.8251,"R0","Variable"
"183","R0",132.7246,"R0","Variable"
"184","R0",127.4785,"R0","Variable"
"185","R0",136.5649,"R0","Variable"
"186","R0",147.0917,"R0","Variable"
"187","R0",145.7321,"R0","Variable"
"188","R0",144.7534,"R0","Variable"
"189","R0",132.5944,"R0","Variable"
"190","R0",160.2323,"R0","Variable"
"191","R0",155.4513,"R0","Variable"
"192","R0",172.6052,"R0","Variable"
"193","R0",172.1987,"R0","Variable"
"194","R0",169.9845,"R0","Variable"
"195","R0",156.1083,"R0","Variable"
"196","R0",137.2212,"R0","Variable"
"197","R0",129.1107,"R0","Variable"
"198","R0",113.5134,"R0","Variable"
"199","R0",121.2685,"R0","Variable"
"200","R0",98.3296,"R0","Variable"
"201","R0",96.3229,"R0","Variable"
"202","R0",115.482,"R0","Variable"
"203","R0",105.4224,"R0","Variable"
"204","R0",97.594,"R0","Variable"
"205","R0",99.0992,"R0","Variable"
"206","R0",120.0322,"R0","Variable"
"207","R0",109.0749,"R0","Variable"
"208","R0",102.4057,"R0","Variable"
"209","R0",121.219,"R0","Variable"
"210","R0",122.7387,"R0","Variable"
"211","R0",122.4435,"R0","Variable"
"212","R0",132.7154,"R0","Variable"
"213","R0",128.4214,"R0","Variable"
"214","R0",118.3544,"R0","Variable"
"215","R0",124.4059,"R0","Variable"
"216","R0",124.5318,"R0","Variable"
"217","R0",124.7116,"R0","Variable"
"218","R0",124.8242,"R0","Variable"
"219","R0",109.0137,"R0","Variable"
"220","R0",124.2719,"R0","Variable"
"221","R0",108.592,"R0","Variable"
"222","R0",117.7001,"R0","Variable"
"223","R0",130.2447,"R0","Variable"
"224","R0",129.0122,"R0","Variable"
"225","R0",137.2227,"R0","Variable"
"226","R0",136.3537,"R0","Variable"
"227","R0",129.6023,"R0","Variable"
"228","R0",137.9877,"R0","Variable"
"229","R0",117.8973,"R0","Variable"
"230","R0",116.614,"R0","Variable"
"231","R0",120.0818,"R0","Variable"
"232","R0",126.6128,"R0","Variable"
"233","R0",137.3635,"R0","Variable"
"234","R0",130.379,"R0","Variable"
"235","R0",143.7236,"R0","Variable"
"236","R0",133.998,"R0","Variable"
"237","R0",121.2923,"R0","Variable"
"238","R0",95.2766,"R0","Variable"
"239","R0",90.5242,"R0","Variable"
"240","R0",96.881,"R0","Variable"
"241","R0",97.8905,"R0","Variable"
"242","R0",120.5281,"R0","Variable"
"243","R0",140.5239,"R0","Variable"
"244","R0",117.3364,"R0","Variable"
"245","R0",126.4967,"R0","Variable"
"246","R0",118.9457,"R0","Variable"
"247","R0",118.6304,"R0","Variable"
"248","R0",111.9108,"R0","Variable"
"249","R0",123.5135,"R0","Variable"
"250","R0",122.7461,"R0","Variable"
"251","R0",124.7273,"R0","Variable"
"252","R0",136.7641,"R0","Variable"
"253","R0",123.6736,"R0","Variable"
"254","R0",106.9544,"R0","Variable"
"255","R0",114.1092,"R0","Variable"
"256","R0",108.4055,"R0","Variable"
"257","R0",117.7574,"R0","Variable"
"258","R0",117.1088,"R0","Variable"
"259","R0",125.1928,"R0","Variable"
"260","R0",114.2927,"R0","Variable"
"261","R0",133.006,"R0","Variable"
"262","R0",142.7491,"R0","Variable"
"263","R0",141.6299,"R0","Variable"
"264","R0",146.7511,"R0","Variable"
"265","R0",123.9097,"R0","Variable"
"266","R0",106.017,"R0","Variable"
"267","R0",115.5998,"R0","Variable"
"268","R0",109.4339,"R0","Variable"
"269","R0",111.2582,"R0","Variable"
"270","R0",130.152,"R0","Variable"
"271","R0",116.7478,"R0","Variable"
"272","R0",137.4946,"R0","Variable"
"273","R0",130.6468,"R0","Variable"
"274","R0",112.0534,"R0","Variable"
"275","R0",99.5369,"R0","Variable"
"276","R0",95.1954,"R0","Variable"
"277","R0",93.032,"R0","Variable"
"278","R0",106.177,"R0","Variable"
"279","R0",102.1086,"R0","Variable"
"280","R0",112.1778,"R0","Variable"
"281","R0",119.6129,"R0","Variable"
"282","R0",104.1888,"R0","Variable"
"283","R0",96.5832,"R0","Variable"
"284","R0",96.8904,"R0","Variable"
"285","R0",116.4224,"R0","Variable"
"286","R0",122.2546,"R0","Variable"
"287","R0",137.2516,"R0","Variable"
"288","R0",150.827,"R0","Variable"
"289","R0",152.9236,"R0","Variable"
"290","R0",130.9759,"R0","Variable"
"291","R0",131.5123,"R0","Variable"
"292","R0",120.1055,"R0","Variable"
"293","R0",113.6075,"R0","Variable"
"294","R0",106.887,"R0","Variable"
"295","R0",116.8829,"R0","Variable"
"296","R0",101.6469,"R0","Variable"
"297","R0",90.5323,"R0","Variable"
"298","R0",90.8221,"R0","Variable"
"299","R0",77.6571,"R0","Variable"
"300","R0",78.9204,"R0","Variable"
"301","R0",88.7835,"R0","Variable"
"302","R0",93.0545,"R0","Variable"
"303","R0",79.7144,"R0","Variable"
"304","R0",100.2476,"R0","Variable"
"305","R0",103.0194,"R0","Variable"
"306","R0",85.2788,"R0","Variable"
"307","R0",100.3334,"R0","Variable"
"308","R0",94.6579,"R0","Variable"
"309","R0",82.0165,"R0","Variable"
"310","R0",91.5231,"R0","Variable"
"311","R0",89.7059,"R0","Variable"
"312","R0",100.0811,"R0","Variable"
"313","R0",119.1131,"R0","Variable"
"314","R0",91.4093,"R0","Variable"
"315","R0",92.1356,"R0","Variable"
"316","R0",101.6917,"R0","Variable"
"317","R0",98.9658,"R0","Variable"
"318","R0",107.3113,"R0","Variable"
"319","R0",109.8625,"R0","Variable"
"320","R0",121.1418,"R0","Variable"
"321","R0",120.8567,"R0","Variable"
"322","R0",125.6924,"R0","Variable"
"323","R0",137.1161,"R0","Variable"
"324","R0",137.5553,"R0","Variable"
"325","R0",115.3547,"R0","Variable"
"326","R0",107.6982,"R0","Variable"
"327","R0",116.4053,"R0","Variable"
"328","R0",101.4173,"R0","Variable"
"329","R0",104.7379,"R0","Variable"
"330","R0",107.3631,"R0","Variable"
"331","R0",96.1191,"R0","Variable"
"332","R0",98.7953,"R0","Variable"
"333","R0",90.7172,"R0","Variable"
"334","R0",99.3166,"R0","Variable"
"335","R0",115.8312,"R0","Variable"
"336","R0",88.8328,"R0","Variable"
"337","R0",94.9373,"R0","Variable"
"338","R0",98.2691,"R0","Variable"
"339","R0",114.7022,"R0","Variable"
"340","R0",134.5592,"R0","Variable"
"341","R0",127.2969,"R0","Variable"
"342","R0",118.8797,"R0","Variable"
"343","R0",111.8945,"R0","Variable"
"344","R0",106.0766,"R0","Variable"
"345","R0",109.9458,"R0","Variable"
"346","R0",130.7326,"R0","Variable"
"347","R0",126.7215,"R0","Variable"
"348","R0",102.7572,"R0","Variable"
"349","R0",88.839,"R0","Variable"
"350","R0",92.9032,"R0","Variable"
"351","R0",96.5973,"R0","Variable"
"352","R0",94.4414,"R0","Variable"
"353","R0",125.182,"R0","Variable"
"354","R0",132.9637,"R0","Variable"
"355","R0",96.0822,"R0","Variable"
"356","R0",106.3154,"R0","Variable"
"357","R0",102.7028,"R0","Variable"
"358","R0",108.3442,"R0","Variable"
"359","R0",129.4774,"R0","Variable"
"360","R0",126.2588,"R0","Variable"
"361","R0",127.9255,"R0","Variable"
"362","R0",130.6562,"R0","Variable"
"363","R0",113.4811,"R0","Variable"
"364","R0",113.9054,"R0","Variable"
"365","R0",98.0254,"R0","Variable"
"366","R0",102.9866,"R0","Variable"
"367","R0",99.9678,"R0","Variable"
"368","R0",109.7494,"R0","Variable"
"369","R0",107.5626,"R0","Variable"
"370","R0",115.577,"R0","Variable"
"371","R0",111.4852,"R0","Variable"
"372","R0",119.0969,"R0","Variable"
"373","R0",138.6672,"R0","Variable"
"374","R0",128.151,"R0","Variable"
"375","R0",127.2517,"R0","Variable"
"376","R0",124.273,"R0","Variable"
"377","R0",110.7184,"R0","Variable"
"378","R0",115.7257,"R0","Variable"
"379","R0",106.7583,"R0","Variable"
"380","R0",96.0416,"R0","Variable"
"381","R0",105.7675,"R0","Variable"
"382","R0",105.2514,"R0","Variable"
"383","R0",89.764,"R0","Variable"
"384","R0",101.6483,"R0","Variable"
"385","R0",115.3043,"R0","Variable"
"386","R0",111.7708,"R0","Variable"
"387","R0",98.5938,"R0","Variable"
"388","R0",96.6918,"R0","Variable"
"389","R0",82.5355,"R0","Variable"
"390","R0",82.2361,"R0","Variable"
"391","R0",98.8953,"R0","Variable"
"392","R0",85.3585,"R0","Variable"
"393","R0",67.2759,"R0","Variable"
"394","R0",73.9187,"R0","Variable"
"395","R0",70.4341,"R0","Variable"
"396","R0",62.7823,"R0","Variable"
"397","R0",71.6091,"R0","Variable"
"398","R0",66.9371,"R0","Variable"
"399","R0",70.3504,"R0","Variable"
"400","R0",93.4428,"R0","Variable"
"401","R0",92.6286,"R0","Variable"
"402","R0",91.1,"R0","Variable"
"403","R0",90.0232,"R0","Variable"
"404","R0",79.7631,"R0","Variable"
"405","R0",83.452,"R0","Variable"
"406","R0",86.0951,"R0","Variable"
"407","R0",83.2507,"R0","Variable"
"408","R0",82.6202,"R0","Variable"
"409","R0",85.0431,"R0","Variable"
"410","R0",88.0361,"R0","Variable"
"411","R0",92.4254,"R0","Variable"
"412","R0",81.6445,"R0","Variable"
"413","R0",88.8832,"R0","Variable"
"414","R0",85.6488,"R0","Variable"
"415","R0",92.0272,"R0","Variable"
"416","R0",92.6011,"R0","Variable"
"417","R0",105.0583,"R0","Variable"
"418","R0",89.4183,"R0","Variable"
"419","R0",83.9669,"R0","Variable"
"420","R0",96.9692,"R0","Variable"
"421","R0",88.9013,"R0","Variable"
"422","R0",95.232,"R0","Variable"
"423","R0",82.1654,"R0","Variable"
"424","R0",97.4127,"R0","Variable"
"425","R0",110.198,"R0","Variable"
"426","R0",103.1318,"R0","Variable"
"427","R0",118.5016,"R0","Variable"
"428","R0",127.3948,"R0","Variable"
"429","R0",113.4758,"R0","Variable"
"430","R0",119.4991,"R0","Variable"
"431","R0",90.634,"R0","Variable"
"432","R0",69.9155,"R0","Variable"
"433","R0",67.2845,"R0","Variable"
"434","R0",76.1286,"R0","Variable"
"435","R0",78.0444,"R0","Variable"
"436","R0",90.6248,"R0","Variable"
"437","R0",84.7489,"R0","Variable"
"438","R0",84.1272,"R0","Variable"
"439","R0",86.7221,"R0","Variable"
"440","R0",90.858,"R0","Variable"
"441","R0",87.7451,"R0","Variable"
"442","R0",100.2124,"R0","Variable"
"443","R0",109.4734,"R0","Variable"
"444","R0",100.4362,"R0","Variable"
"445","R0",89.5453,"R0","Variable"
"446","R0",105.1027,"R0","Variable"
"447","R0",101.0489,"R0","Variable"
"448","R0",94.6189,"R0","Variable"
"449","R0",105.47,"R0","Variable"
"450","R0",91.7386,"R0","Variable"
"451","R0",81.177,"R0","Variable"
"452","R0",79.4279,"R0","Variable"
"453","R0",73.3914,"R0","Variable"
"454","R0",73.0569,"R0","Variable"
"455","R0",79.5876,"R0","Variable"
"456","R0",74.7058,"R0","Variable"
"457","R0",77.4216,"R0","Variable"
"458","R0",70.0231,"R0","Variable"
"459","R0",67.7197,"R0","Variable"
"460","R0",67.6498,"R0","Variable"
"461","R0",66.717,"R0","Variable"
"462","R0",69.4865,"R0","Variable"
"463","R0",67.5027,"R0","Variable"
"464","R0",72.82,"R0","Variable"
"465","R0",83.0052,"R0","Variable"
"466","R0",93.6092,"R0","Variable"
"467","R0",83.0846,"R0","Variable"
"468","R0",87.3104,"R0","Variable"
"469","R0",101.0437,"R0","Variable"
"470","R0",106.3268,"R0","Variable"
"471","R0",112.7818,"R0","Variable"
"472","R0",98.7726,"R0","Variable"
"473","R0",110.3682,"R0","Variable"
"474","R0",119.4699,"R0","Variable"
"475","R0",112.2443,"R0","Variable"
"476","R0",126.5831,"R0","Variable"
"477","R0",119.9805,"R0","Variable"
"478","R0",122.8886,"R0","Variable"
"479","R0",116.2067,"R0","Variable"
"480","R0",104.413,"R0","Variable"
"481","R0",108.3927,"R0","Variable"
"482","R0",121.4644,"R0","Variable"
"483","R0",108.8731,"R0","Variable"
"484","R0",112.6348,"R0","Variable"
"485","R0",113.8725,"R0","Variable"
"486","R0",104.7271,"R0","Variable"
"487","R0",94.9017,"R0","Variable"
"488","R0",75.2829,"R0","Variable"
"489","R0",73.4827,"R0","Variable"
"490","R0",60.8086,"R0","Variable"
"491","R0",53.2157,"R0","Variable"
"492","R0",47.6486,"R0","Variable"
"493","R0",78.5807,"R0","Variable"
"494","R0",88.0436,"R0","Variable"
"495","R0",89.1287,"R0","Variable"
"496","R0",93.2829,"R0","Variable"
"497","R0",96.8854,"R0","Variable"
"498","R0",94.1417,"R0","Variable"
"499","R0",118.4083,"R0","Variable"
"500","R0",130.3157,"R0","Variable"
"501","R0",127.6529,"R0","Variable"
"502","R0",138.1318,"R0","Variable"
"503","R0",124.721,"R0","Variable"
"504","R0",128.3374,"R0","Variable"
"505","R0",126.2667,"R0","Variable"
"506","R0",111.9405,"R0","Variable"
"507","R0",130.143,"R0","Variable"
"508","R0",122.2848,"R0","Variable"
"509","R0",125.0105,"R0","Variable"
"510","R0",117.414,"R0","Variable"
"511","R0",129.5651,"R0","Variable"
"512","R0",139.1232,"R0","Variable"
"513","R0",136.0738,"R0","Variable"
"514","R0",133.6042,"R0","Variable"
"515","R0",128.3817,"R0","Variable"
"516","R0",118.2708,"R0","Variable"
"517","R0",105.0502,"R0","Variable"
"518","R0",127.2226,"R0","Variable"
"519","R0",121.6344,"R0","Variable"
"520","R0",119.2361,"R0","Variable"
"521","R0",101.896,"R0","Variable"
"522","R0",92.5826,"R0","Variable"
"523","R0",101.7645,"R0","Variable"
"524","R0",100.4294,"R0","Variable"
"525","R0",119.2867,"R0","Variable"
"526","R0",129.9785,"R0","Variable"
"527","R0",115.8526,"R0","Variable"
"528","R0",117.1873,"R0","Variable"
"529","R0",104.963,"R0","Variable"
"530","R0",103.6445,"R0","Variable"
"531","R0",105.3784,"R0","Variable"
"532","R0",109.4817,"R0","Variable"
"533","R0",114.6626,"R0","Variable"
"534","R0",114.3998,"R0","Variable"
"535","R0",116.2503,"R0","Variable"
"536","R0",117.8615,"R0","Variable"
"537","R0",115.6038,"R0","Variable"
"538","R0",118.1483,"R0","Variable"
"539","R0",125.0518,"R0","Variable"
"540","R0",119.6516,"R0","Variable"
"541","R0",129.6758,"R0","Variable"
"542","R0",138.848,"R0","Variable"
"543","R0",151.501,"R0","Variable"
"544","R0",129.5867,"R0","Variable"
"545","R0",129.5675,"R0","Variable"
"546","R0",124.6212,"R0","Variable"
"547","R0",125.4796,"R0","Variable"
"548","R0",141.9214,"R0","Variable"
"549","R0",144.3759,"R0","Variable"
"550","R0",162.665,"R0","Variable"
"551","R0",170.7538,"R0","Variable"
"552","R0",148.9345,"R0","Variable"
"553","R0",152.1577,"R0","Variable"
"554","R0",159.1625,"R0","Variable"
"555","R0",152.1202,"R0","Variable"
"556","R0",155.2973,"R0","Variable"
"557","R0",154.4799,"R0","Variable"
"558","R0",152.5046,"R0","Variable"
"559","R0",137.1824,"R0","Variable"
"560","R0",120.3203,"R0","Variable"
"561","R0",132.3134,"R0","Variable"
"562","R0",126.3071,"R0","Variable"
"563","R0",118.268,"R0","Variable"
"564","R0",124.1958,"R0","Variable"
"565","R0",150.5516,"R0","Variable"
"566","R0",127.9927,"R0","Variable"
"567","R0",137.2253,"R0","Variable"
"568","R0",140.9099,"R0","Variable"
"569","R0",157.5952,"R0","Variable"
"570","R0",154.0733,"R0","Variable"
"571","R0",131.8707,"R0","Variable"
"572","R0",146.9624,"R0","Variable"
"573","R0",144.8059,"R0","Variable"
"574","R0",117.4926,"R0","Variable"
"575","R0",134.3569,"R0","Variable"
"576","R0",113.1502,"R0","Variable"
"577","R0",117.6918,"R0","Variable"
"578","R0",107.6415,"R0","Variable"
"579","R0",123.3293,"R0","Variable"
"580","R0",123.5707,"R0","Variable"
"581","R0",131.7858,"R0","Variable"
"582","R0",141.3523,"R0","Variable"
"583","R0",140.1584,"R0","Variable"
"584","R0",167.1387,"R0","Variable"
"585","R0",141.9,"R0","Variable"
"586","R0",125.7354,"R0","Variable"
"587","R0",109.902,"R0","Variable"
"588","R0",120.0915,"R0","Variable"
"589","R0",138.5294,"R0","Variable"
"590","R0",118.5875,"R0","Variable"
"591","R0",138.9371,"R0","Variable"
"592","R0",129.6665,"R0","Variable"
"593","R0",108.4499,"R0","Variable"
"594","R0",122.8577,"R0","Variable"
"595","R0",129.7806,"R0","Variable"
"596","R0",126.1313,"R0","Variable"
"597","R0",135.6115,"R0","Variable"
"598","R0",128.5751,"R0","Variable"
"599","R0",118.6686,"R0","Variable"
"600","R0",117.7501,"R0","Variable"
"601","R0",111.5993,"R0","Variable"
"602","R0",116.917,"R0","Variable"
"603","R0",111.3999,"R0","Variable"
"604","R0",118.6775,"R0","Variable"
"605","R0",125.032,"R0","Variable"
"606","R0",126.0898,"R0","Variable"
"607","R0",112.0878,"R0","Variable"
"608","R0",127.0456,"R0","Variable"
"609","R0",116.3098,"R0","Variable"
"610","R0",120.6029,"R0","Variable"
"611","R0",108.716,"R0","Variable"
"612","R0",107.2033,"R0","Variable"
"613","R0",125.2986,"R0","Variable"
"614","R0",119.5517,"R0","Variable"
"615","R0",157.193,"R0","Variable"
"616","R0",147.9689,"R0","Variable"
"617","R0",151.598,"R0","Variable"
"618","R0",164.5524,"R0","Variable"
"619","R0",151.8394,"R0","Variable"
"620","R0",137.2031,"R0","Variable"
"621","R0",133.1551,"R0","Variable"
"622","R0",121.0735,"R0","Variable"
"623","R0",116.671,"R0","Variable"
"624","R0",117.8557,"R0","Variable"
"625","R0",114.396,"R0","Variable"
"626","R0",101.2567,"R0","Variable"
"627","R0",104.4907,"R0","Variable"
"628","R0",115.6672,"R0","Variable"
"629","R0",118.6975,"R0","Variable"
"630","R0",104.3867,"R0","Variable"
"631","R0",130.7436,"R0","Variable"
"632","R0",140.2973,"R0","Variable"
"633","R0",146.8055,"R0","Variable"
"634","R0",162.288,"R0","Variable"
"635","R0",146.6998,"R0","Variable"
"636","R0",138.2425,"R0","Variable"
"637","R0",146.6926,"R0","Variable"
"638","R0",148.8698,"R0","Variable"
"639","R0",154.3327,"R0","Variable"
"640","R0",148.5847,"R0","Variable"
"641","R0",150.9678,"R0","Variable"
"642","R0",149.687,"R0","Variable"
"643","R0",172.0493,"R0","Variable"
"644","R0",154.8032,"R0","Variable"
"645","R0",171.9728,"R0","Variable"
"646","R0",168.8224,"R0","Variable"
"647","R0",173.4778,"R0","Variable"
"648","R0",169.1488,"R0","Variable"
"649","R0",150.3772,"R0","Variable"
"650","R0",130.6178,"R0","Variable"
"651","R0",154.8517,"R0","Variable"
"652","R0",143.3482,"R0","Variable"
"653","R0",144.3776,"R0","Variable"
"654","R0",136.45,"R0","Variable"
"655","R0",142.6221,"R0","Variable"
"656","R0",156.3658,"R0","Variable"
"657","R0",170.4928,"R0","Variable"
"658","R0",171.2016,"R0","Variable"
"659","R0",173.1795,"R0","Variable"
"660","R0",150.9781,"R0","Variable"
"661","R0",139.7486,"R0","Variable"
"662","R0",140.9281,"R0","Variable"
"663","R0",124.3931,"R0","Variable"
"664","R0",130.2449,"R0","Variable"
"665","R0",140.0056,"R0","Variable"
"666","R0",138.5305,"R0","Variable"
"667","R0",131.7805,"R0","Variable"
"668","R0",149.0508,"R0","Variable"
"669","R0",142.337,"R0","Variable"
"670","R0",152.3902,"R0","Variable"
"671","R0",138.7932,"R0","Variable"
"672","R0",126.8852,"R0","Variable"
"673","R0",107.7886,"R0","Variable"
"674","R0",130.5487,"R0","Variable"
"675","R0",142.9546,"R0","Variable"
"676","R0",149.4331,"R0","Variable"
"677","R0",168.3839,"R0","Variable"
"678","R0",168.908,"R0","Variable"
"679","R0",174.387,"R0","Variable"
"680","R0",182.6745,"R0","Variable"
"681","R0",167.1715,"R0","Variable"
"682","R0",170.6153,"R0","Variable"
"683","R0",160.4861,"R0","Variable"
"684","R0",165.307,"R0","Variable"
"685","R0",156.8734,"R0","Variable"
"686","R0",150.3226,"R0","Variable"
"687","R0",151.21,"R0","Variable"
"688","R0",173.2619,"R0","Variable"
"689","R0",169.051,"R0","Variable"
"690","R0",165.0538,"R0","Variable"
"691","R0",167.9777,"R0","Variable"
"692","R0",154,"R0","Variable"
"693","R0",168.1626,"R0","Variable"
"694","R0",172.6377,"R0","Variable"
"695","R0",163.3596,"R0","Variable"
"696","R0",148.0156,"R0","Variable"
"697","R0",151.2661,"R0","Variable"
"698","R0",149.9071,"R0","Variable"
"699","R0",170.0974,"R0","Variable"
"700","R0",180.7782,"R0","Variable"
"701","R0",179.3654,"R0","Variable"
"702","R0",165.2114,"R0","Variable"
