,Field,Dataset,Product,Obj__Id,Moisture__,Yld_Vol_Dr
119,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,119,30,39.8365
120,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,120,28.9,35.1702
121,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,121,28.6,35.7218
122,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,122,30.2,37.3413
123,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,123,31.3,45.1252
124,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,124,29.3,77.2093
125,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,125,28.2,53.3611
126,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,126,29.3,61.9445
127,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,127,30.7,58.7868
128,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,128,31.2,34.6451
129,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,129,32.5,31.1572
130,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,130,33.3,78.4461
131,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,131,33.8,101.4497
132,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,132,30.7,105.0797
133,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,133,29.8,95.3655
134,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,134,31.4,137.0633
135,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,135,32.2,150.6647
136,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,136,30.3,135.565
137,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,137,29,198.7701
138,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,138,29.8,161.5036
139,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,139,31.3,124.9805
140,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,140,31.3,157.6652
141,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,141,28.9,162.664
142,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,142,27.8,146.1971
143,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,143,30.7,31.2643
144,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,144,32.7,14.1956
145,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,145,32.7,53.7767
146,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,146,32.6,21.475
147,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,147,29.9,32.0169
148,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,148,29.4,50.4891
149,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,149,30.4,16.2264
150,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,150,30.9,44.375
151,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,151,31,40.9803
152,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,152,31.1,44.7215
153,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,153,29,40.5138
154,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,154,29.4,69.1808
155,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,155,30.9,69.9401
156,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,156,31.4,30.7201
157,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,157,31.7,47.673
158,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,158,31.3,44.0001
159,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,159,28.7,41.7944
160,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,160,30,56.2343
161,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,161,30.6,34.1416
162,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,162,31,33.0964
163,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,163,31.1,27.1929
164,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,164,29.3,24.4376
165,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,165,28.7,39.3308
166,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,166,29.8,61.2078
167,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,167,30.4,54.8348
168,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,168,30.7,50.7426
169,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,169,31,25.3032
170,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,170,27.9,53.4922
171,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,171,28.3,29.7917
172,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,172,29.3,50.1055
173,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,173,30.2,83.3814
174,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,174,30.7,100.3005
175,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,175,28.8,178.6596
176,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,176,27.6,195.0738
177,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,177,28.7,209.7633
178,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,178,29.6,168.4946
179,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,179,27.8,157.6221
180,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,180,26.7,190.3867
181,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,181,28.3,182.0135
182,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,182,29,151.9254
183,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,183,27.1,149.6307
184,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,184,27.4,141.8327
185,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,185,28.5,134.9146
186,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,186,28.3,98.4458
187,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,187,27.4,79.5871
188,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,188,28.8,56.0259
189,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,189,29.1,42.9446
190,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,190,29.5,13.8048
191,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,191,29.9,82.4268
192,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,192,28.3,76.0721
193,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,193,28.5,132.774
194,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,194,29.6,95.784
195,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,195,30.3,166.4987
196,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,196,29.8,209.6791
197,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,197,28.3,146.4866
198,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,198,29.4,192.1623
199,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,199,30.4,164.3943
200,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,200,29.4,161.9415
201,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,201,27.3,158.8457
202,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,202,29.5,185.0916
203,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,203,30.6,159.8535
204,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,204,29,210.1712
205,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,205,28.8,200.1115
206,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,206,30.1,211.3749
207,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,207,31.2,211.2937
208,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,208,30.8,240.7026
209,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,209,29.1,232.7788
210,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,210,28.9,219.6036
211,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,211,30.3,204.3588
212,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,212,30.8,176.6853
213,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,213,29.8,194.132
214,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,214,28.7,208.0226
215,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,215,29.9,198.4081
216,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,216,31.3,182.7283
217,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,217,30.6,189.3891
218,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,218,29,186.9154
219,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,219,28.9,166.7125
220,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,220,30.6,176.935
221,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,221,30.5,185.6843
222,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,222,29.3,204.8823
223,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,223,28.8,208.6436
224,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,224,30.3,213.7687
225,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,225,30.4,223.6056
226,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,226,28.8,243.7948
227,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,227,28.7,240.3974
228,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,228,29.6,212.7572
229,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,229,30,205.9095
230,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,230,28.9,191.7593
231,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,231,29.8,209.6543
232,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,232,31,199.251
233,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,233,30.2,218.0615
234,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,234,29.6,221.1077
235,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,235,29.3,212.8194
236,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,236,30.6,209.9505
237,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,237,31.4,193.3274
238,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,238,29.7,205.847
239,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,239,29.5,206.072
240,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,240,30.3,207.8236
241,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,241,31.2,204.6356
242,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,242,31.9,202.9178
243,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,243,30.7,219.5261
244,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,244,29.7,223.9509
245,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,245,28.9,213.5595
246,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,246,30.3,157.4045
247,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,247,31.4,151.1594
248,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,248,30.3,147.5542
249,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,249,28.6,194.8047
250,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,250,29,181.8018
251,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,251,30.1,156.0522
252,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,252,29.4,155.793
253,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,253,28.3,162.3025
254,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,254,29.6,144.3233
255,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,255,30.8,119.0217
256,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,256,29.7,103.64
257,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,257,28.2,76.6224
258,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,258,29.6,90.534
259,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,259,30.5,93.2659
260,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,260,31,90.5081
261,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,261,28.6,88.2541
262,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,262,29,93.669
263,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,263,30.4,107.9301
264,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,264,31.1,112.7839
265,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,265,30.2,124.0948
266,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,266,28.2,115.488
267,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,267,29.8,118.745
268,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,268,30.8,106.4988
269,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,269,31,100.3689
270,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,270,29.7,118.4471
271,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,271,29.7,133.6234
272,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,272,30.9,144.4809
273,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,273,31.2,133.4246
274,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,274,28.6,158.3867
275,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,275,28.2,165.1458
276,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,276,29.8,173.3733
277,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,277,30.5,167.2387
278,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,278,28.9,164.6138
279,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,279,27.9,186.6266
280,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,280,27.7,181.2828
281,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,281,29.1,166.2241
282,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,282,30.5,144.6991
283,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,283,30,117.4637
284,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,284,28.2,119.9128
285,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,285,28.2,71.5129
286,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,286,29.9,13.5925
287,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,287,32.2,14.4941
288,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,288,32.4,112.2101
289,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,289,30.2,54.5239
290,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,290,28.3,69.1985
291,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,291,29.5,67.3974
